ids,type,verb,dObj,perfective,iterative,sentence
stim2,CONTROL,rompere,yes,yes,no,Sara aveva rotto un vaso.
stim4,CONTROL,rompere,yes,no,no,Piero stava rompendo un vaso.
stim10,CONTROL,costruire,yes,yes,no,Luca aveva costruito una casa.
stim12,CONTROL,costruire,yes,no,no,Luca stava costruendo una casa.
stim18,CONTROL,spaccare,yes,yes,no,Carla aveva spaccato un tronco.
stim20,CONTROL,spaccare,yes,no,no,Luca stava spaccando un tronco.
stim26,CONTROL,pulire,yes,yes,no,Giulia aveva pulito un tavolo.
stim28,CONTROL,pulire,yes,no,no,Carla stava pulendo un tavolo.
stim34,CONTROL,cucinare,yes,yes,no,Marta aveva cucinato la cena.
stim36,CONTROL,cucinare,yes,no,no,Maria stava cucinando la cena.
stim42,CONTROL,tagliare,yes,yes,no,Piero aveva tagliato della carta.
stim44,CONTROL,tagliare,yes,no,no,Paolo stava tagliando della carta.
stim50,CONTROL,bere,yes,yes,no,Maria aveva bevuto del succo.
stim52,CONTROL,bere,yes,no,no,Carla stava bevendo del succo.
stim58,CONTROL,mangiare,yes,yes,no,Luca aveva mangiato della pizza.
stim60,CONTROL,mangiare,yes,no,no,Paolo stava mangiando della pizza.
stim66,CONTROL,ricamare,yes,yes,no,Luca aveva ricamato un arazzo.
stim68,CONTROL,ricamare,yes,no,no,Paolo stava ricamando un arazzo.
stim74,CONTROL,versare,yes,yes,no,Maria aveva versato del vino.
stim76,CONTROL,versare,yes,no,no,Sara stava versando del vino.
stim82,CONTROL,cucire,yes,yes,no,Maria aveva cucito una tenda.
stim84,CONTROL,cucire,yes,no,no,Sara stava cucendo una tenda.
stim90,CONTROL,rubare,yes,yes,no,Piero aveva rubato dei soldi.
stim92,CONTROL,rubare,yes,no,no,Paolo stava rubando dei soldi.
stim98,CONTROL,lavare,yes,yes,no,Maria aveva lavato una macchina.
stim100,CONTROL,lavare,yes,no,no,Marta stava lavando una macchina.
stim106,CONTROL,guardare,yes,yes,no,Giulia aveva guardato un film.
stim108,CONTROL,guardare,yes,no,no,Paolo stava guardando un film.
stim114,CONTROL,scrivere,yes,yes,no,Sara aveva scritto una lettera.
stim116,CONTROL,scrivere,yes,no,no,Luca stava scrivendo una lettera.
stim122,CONTROL,decapitare,yes,yes,no,Gianni aveva decapitato un prigioniero.
stim124,CONTROL,decapitare,yes,no,no,Luca stava decapitando un prigioniero.
stim130,CONTROL,divorare,yes,yes,no,Carla aveva divorato un pollo arrosto.
stim132,CONTROL,divorare,yes,no,no,Gianni stava divorando un pollo arrosto.
stim138,CONTROL,scarabocchiare,yes,yes,no,Franco aveva scarabocchiato un omino.
stim140,CONTROL,scarabocchiare,yes,no,no,Luca stava scarabocchiando un omino.
stim146,CONTROL,uccidere,yes,yes,no,Luca aveva ucciso dei parassiti.
stim148,CONTROL,uccidere,yes,no,no,Marta stava uccidendo dei parassiti.
stim154,CONTROL,accoltellare,yes,yes,no,Sara aveva accoltellato un uomo.
stim156,CONTROL,accoltellare,yes,no,no,Sara stava accoltellando un uomo.
stim162,CONTROL,avvelenare,yes,yes,no,Carla aveva avvelenato una pianta.
stim164,CONTROL,avvelenare,yes,no,no,Marta stava avvelenando una pianta.
stim170,CONTROL,firmare,yes,yes,no,Luca aveva firmato un documento.
stim172,CONTROL,firmare,yes,no,no,Marta stava firmando un documento.
stim178,CONTROL,sorseggiare,yes,yes,no,Gianni aveva sorseggiato dell’acqua.
stim180,CONTROL,sorseggiare,yes,no,no,Giulia stava sorseggiando dell’acqua.
stim186,CONTROL,fumare,yes,yes,no,Luca aveva fumato una sigaretta.
stim188,CONTROL,fumare,yes,no,no,Franco stava fumando una sigaretta.
stim194,CONTROL,trangugiare,yes,yes,no,Carla aveva trangugiato una birra.
stim196,CONTROL,trangugiare,yes,no,no,Luca stava trangugiando una birra.
stim202,CONTROL,lucidare,yes,yes,no,Franco aveva lucidato una spada.
stim204,CONTROL,lucidare,yes,no,no,Paolo stava lucidando una spada.
stim210,CONTROL,insegnare,yes,yes,no,Marta aveva insegnato linguistica.
stim212,CONTROL,insegnare,yes,no,no,Carla stava insegnando linguistica.
stim218,CONTROL,cantare,yes,yes,no,Sara aveva cantato un inno.
stim220,CONTROL,cantare,yes,no,no,Marta stava cantando un inno.
stim226,CONTROL,canticchiare,yes,yes,no,Gianni aveva canticchiato una ninna-nanna.
stim228,CONTROL,canticchiare,yes,no,no,Paolo stava canticchiando una ninna-nanna.
stim234,CONTROL,affettare,yes,yes,no,Carla aveva affettato una torta.
stim236,CONTROL,affettare,yes,no,no,Paolo stava affettando una torta.
stim1,CONTROL,rompere,yes,yes,yes,Giulia aveva rotto un vaso di nuovo.
stim3,CONTROL,rompere,yes,no,yes,Marta stava rompendo un vaso di nuovo.
stim9,CONTROL,costruire,yes,yes,yes,Paolo aveva costruito una casa di nuovo.
stim11,CONTROL,costruire,yes,no,yes,Marta stava costruendo una casa di nuovo.
stim17,CONTROL,spaccare,yes,yes,yes,Carla aveva spaccato un tronco di nuovo.
stim19,CONTROL,spaccare,yes,no,yes,Maria stava spaccando un tronco di nuovo.
stim25,CONTROL,pulire,yes,yes,yes,Sara aveva pulito un tavolo di nuovo.
stim27,CONTROL,pulire,yes,no,yes,Gianni stava pulendo un tavolo di nuovo.
stim33,CONTROL,cucinare,yes,yes,yes,Franco aveva cucinato la cena di nuovo.
stim35,CONTROL,cucinare,yes,no,yes,Giulia stava cucinando la cena di nuovo.
stim41,CONTROL,tagliare,yes,yes,yes,Luca aveva tagliato della carta di nuovo.
stim43,CONTROL,tagliare,yes,no,yes,Sara stava tagliando della carta di nuovo.
stim49,CONTROL,bere,yes,yes,yes,Carla aveva bevuto del succo di nuovo.
stim51,CONTROL,bere,yes,no,yes,Paolo stava bevendo del succo di nuovo.
stim57,CONTROL,mangiare,yes,yes,yes,Gianni aveva mangiato della pizza di nuovo.
stim59,CONTROL,mangiare,yes,no,yes,Marta stava mangiando della pizza di nuovo.
stim65,CONTROL,ricamare,yes,yes,yes,Franco aveva ricamato un arazzo di nuovo.
stim67,CONTROL,ricamare,yes,no,yes,Paolo stava ricamando un arazzo di nuovo.
stim73,CONTROL,versare,yes,yes,yes,Carla aveva versato del vino di nuovo.
stim75,CONTROL,versare,yes,no,yes,Carla stava versando del vino di nuovo.
stim81,CONTROL,cucire,yes,yes,yes,Franco aveva cucito una tenda di nuovo.
stim83,CONTROL,cucire,yes,no,yes,Franco stava cucendo una tenda di nuovo.
stim89,CONTROL,rubare,yes,yes,yes,Marta aveva rubato dei soldi di nuovo.
stim91,CONTROL,rubare,yes,no,yes,Paolo stava rubando dei soldi di nuovo.
stim97,CONTROL,lavare,yes,yes,yes,Franco aveva lavato una macchina di nuovo.
stim99,CONTROL,lavare,yes,no,yes,Piero stava lavando una macchina di nuovo.
stim105,CONTROL,guardare,yes,yes,yes,Gianni aveva guardato un film di nuovo.
stim107,CONTROL,guardare,yes,no,yes,Luca stava guardando un film di nuovo.
stim113,CONTROL,scrivere,yes,yes,yes,Sara aveva scritto una lettera di nuovo.
stim115,CONTROL,scrivere,yes,no,yes,Giulia stava scrivendo una lettera di nuovo.
stim121,CONTROL,decapitare,yes,yes,yes,Piero aveva decapitato un prigioniero di nuovo.
stim123,CONTROL,decapitare,yes,no,yes,Luca stava decapitando un prigioniero di nuovo.
stim129,CONTROL,divorare,yes,yes,yes,Franco aveva divorato un pollo arrosto di nuovo.
stim131,CONTROL,divorare,yes,no,yes,Gianni stava divorando un pollo arrosto di nuovo.
stim137,CONTROL,scarabocchiare,yes,yes,yes,Gianni aveva scarabocchiato un omino di nuovo.
stim139,CONTROL,scarabocchiare,yes,no,yes,Giulia stava scarabocchiando un omino di nuovo.
stim145,CONTROL,uccidere,yes,yes,yes,Sara aveva ucciso dei parassiti di nuovo.
stim147,CONTROL,uccidere,yes,no,yes,Carla stava uccidendo dei parassiti di nuovo.
stim153,CONTROL,accoltellare,yes,yes,yes,Gianni aveva accoltellato un uomo di nuovo.
stim155,CONTROL,accoltellare,yes,no,yes,Carla stava accoltellando un uomo di nuovo.
stim161,CONTROL,avvelenare,yes,yes,yes,Carla aveva avvelenato una pianta di nuovo.
stim163,CONTROL,avvelenare,yes,no,yes,Marta stava avvelenando una pianta di nuovo.
stim169,CONTROL,firmare,yes,yes,yes,Sara aveva firmato un documento di nuovo.
stim171,CONTROL,firmare,yes,no,yes,Gianni stava firmando un documento di nuovo.
stim177,CONTROL,sorseggiare,yes,yes,yes,Luca aveva sorseggiato dell’acqua di nuovo.
stim179,CONTROL,sorseggiare,yes,no,yes,Franco stava sorseggiando dell’acqua di nuovo.
stim185,CONTROL,fumare,yes,yes,yes,Carla aveva fumato una sigaretta di nuovo.
stim187,CONTROL,fumare,yes,no,yes,Piero stava fumando una sigaretta di nuovo.
stim193,CONTROL,trangugiare,yes,yes,yes,Sara aveva trangugiato una birra di nuovo.
stim195,CONTROL,trangugiare,yes,no,yes,Sara stava trangugiando una birra di nuovo.
stim201,CONTROL,lucidare,yes,yes,yes,Piero aveva lucidato una spada di nuovo.
stim203,CONTROL,lucidare,yes,no,yes,Giulia stava lucidando una spada di nuovo.
stim209,CONTROL,insegnare,yes,yes,yes,Franco aveva insegnato linguistica di nuovo.
stim211,CONTROL,insegnare,yes,no,yes,Gianni stava insegnando linguistica di nuovo.
stim217,CONTROL,cantare,yes,yes,yes,Marta aveva cantato un inno di nuovo.
stim219,CONTROL,cantare,yes,no,yes,Gianni stava cantando un inno di nuovo.
stim225,CONTROL,canticchiare,yes,yes,yes,Franco aveva canticchiato una ninna-nanna di nuovo.
stim227,CONTROL,canticchiare,yes,no,yes,Maria stava canticchiando una ninna-nanna di nuovo.
stim233,CONTROL,affettare,yes,yes,yes,Piero aveva affettato una torta di nuovo.
stim235,CONTROL,affettare,yes,no,yes,Piero stava affettando una torta di nuovo.
stim5,EXP,rompere,no,yes,yes,Paolo aveva rotto di nuovo.
stim6,EXP,rompere,no,yes,no,Piero aveva rotto.
stim7,EXP,rompere,no,no,yes,Luca stava rompendo di nuovo.
stim8,EXP,rompere,no,no,no,Paolo stava rompendo.
stim13,EXP,costruire,no,yes,yes,Gianni aveva costruito di nuovo.
stim14,EXP,costruire,no,yes,no,Marta aveva costruito.
stim15,EXP,costruire,no,no,yes,Franco stava costruendo di nuovo.
stim16,EXP,costruire,no,no,no,Sara stava costruendo.
stim21,EXP,spaccare,no,yes,yes,Marta aveva spaccato di nuovo.
stim22,EXP,spaccare,no,yes,no,Gianni aveva spaccato.
stim23,EXP,spaccare,no,no,yes,Gianni stava spaccando di nuovo.
stim24,EXP,spaccare,no,no,no,Giulia stava spaccando.
stim29,EXP,pulire,no,yes,yes,Piero aveva pulito di nuovo.
stim30,EXP,pulire,no,yes,no,Sara aveva pulito.
stim31,EXP,pulire,no,no,yes,Paolo stava pulendo di nuovo.
stim32,EXP,pulire,no,no,no,Luca stava pulendo.
stim37,EXP,cucinare,no,yes,yes,Franco aveva cucinato di nuovo.
stim38,EXP,cucinare,no,yes,no,Piero aveva cucinato.
stim39,EXP,cucinare,no,no,yes,Franco stava cucinando di nuovo.
stim40,EXP,cucinare,no,no,no,Maria stava cucinando.
stim45,EXP,tagliare,no,yes,yes,Piero aveva tagliato di nuovo.
stim46,EXP,tagliare,no,yes,no,Luca aveva tagliato.
stim47,EXP,tagliare,no,no,yes,Maria stava tagliando di nuovo.
stim48,EXP,tagliare,no,no,no,Marta stava tagliando.
stim53,EXP,bere,no,yes,yes,Sara aveva bevuto di nuovo.
stim54,EXP,bere,no,yes,no,Maria aveva bevuto.
stim55,EXP,bere,no,no,yes,Giulia stava bevendo di nuovo.
