verb,telicity,perfectivity,iterativity,mannspec,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,part29,part30
accoltellare,telic,imperf,noiter,spec,2,1,2,3,5,6,4,5,4,4,4,1,3,6,6,6,2,6,5,1,7,5,5,5,6,6,7,5,5,5
accoltellare,telic,imperf,iter,spec,3,5,5,3,6,5,6,7,6,6,4,2,2,6,6,6,6,4,5,6,7,5,5,6,6,6,7,3,7,5
accoltellare,telic,perf,noiter,spec,2,3,1,3,5,6,5,7,3,5,3,2,7,7,5,5,5,6,5,2,7,7,5,5,6,6,7,3,7,5
accoltellare,telic,perf,iter,spec,2,2,1,4,7,7,5,5,5,5,4,4,3,6,5,6,6,7,6,5,6,5,2,6,6,6,7,3,5,5
affettare,telic,imperf,noiter,spec,5,5,5,4,4,5,6,5,7,6,4,6,1,7,5,6,6,6,6,7,7,7,5,6,7,6,7,5,4,4
affettare,telic,imperf,iter,spec,2,5,7,4,7,6,6,5,4,6,4,4,3,6,7,6,6,6,6,6,7,3,3,6,6,6,7,5,4,6
affettare,telic,perf,noiter,spec,2,1,1,2,5,6,4,4,4,4,4,1,1,7,6,6,4,6,5,5,7,5,5,6,5,6,7,3,4,5
affettare,telic,perf,iter,spec,1,1,5,3,7,7,6,7,5,6,4,4,1,6,6,6,5,7,6,4,6,6,3,6,6,6,7,3,7,5
avvelenare,telic,imperf,noiter,spec,2,1,1,2,5,6,5,4,1,5,2,1,1,6,5,6,6,6,5,2,7,6,3,5,6,6,2,3,5,5
avvelenare,telic,imperf,iter,spec,3,2,6,3,1,3,5,6,1,5,4,2,1,6,6,6,5,3,5,2,7,7,6,6,6,6,7,3,3,5
avvelenare,telic,perf,noiter,spec,2,1,5,4,1,4,4,5,1,4,4,1,1,6,4,5,4,6,5,2,5,6,6,5,6,6,3,3,3,6
avvelenare,telic,perf,iter,spec,3,2,6,4,1,7,6,6,4,6,4,1,1,6,6,6,5,7,6,2,7,2,2,7,1,6,7,5,4,5
bere,atelic,imperf,noiter,nospec,7,7,7,7,7,6,7,7,7,7,5,7,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7
bere,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,6,7,5,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
bere,atelic,perf,noiter,nospec,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7
bere,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,6,7,7,7,6,7,5,6,6,7,6,7,7,7,7,7,6,7,7,7,7,7
cantare,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7
cantare,atelic,imperf,iter,nospec,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,7
cantare,atelic,perf,noiter,nospec,7,7,7,4,7,6,6,7,6,7,7,7,7,7,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7
cantare,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,4,7,5,7,4,7,6,5,6,6,6,6,7,7,1,7,7,7,7,7,7,7
canticchiare,atelic,imperf,noiter,spec,7,4,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,7,7,7,7,7,7,7
canticchiare,atelic,imperf,iter,spec,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,6,7,7,7,7,6,7,7
canticchiare,atelic,perf,noiter,spec,7,7,5,7,7,7,7,7,6,7,6,4,6,7,7,5,7,7,6,6,7,7,2,7,7,7,7,7,7,7
canticchiare,atelic,perf,iter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,6,7,6,6,7,7,3,7,7,6,7,7,7,7
costruire,telic,imperf,noiter,nospec,7,4,5,3,3,5,6,6,7,6,4,2,1,6,7,5,6,5,6,7,7,7,7,6,7,7,7,7,4,4
costruire,telic,imperf,iter,nospec,7,5,3,3,5,6,7,5,5,7,5,1,3,6,6,6,7,6,6,6,7,7,6,6,6,6,7,6,3,5
costruire,telic,perf,noiter,nospec,5,3,5,4,4,5,7,3,4,7,2,1,2,7,6,6,6,5,6,6,7,7,3,6,6,6,7,5,3,4
costruire,telic,perf,iter,nospec,4,4,5,5,5,5,6,5,5,6,4,2,1,6,6,6,6,4,6,5,7,7,2,6,6,7,7,3,4,4
cucinare,atelic,imperf,noiter,nospec,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7
cucinare,atelic,imperf,iter,nospec,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7
cucinare,atelic,perf,noiter,nospec,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,6,7,7,7,7,7,7
cucinare,atelic,perf,iter,nospec,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,6,6,7,7,7,7,6,6,7,7,7,7,6
cucire,atelic,imperf,noiter,nospec,7,5,7,7,7,6,7,7,7,7,6,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
cucire,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,5,7,5,7,7,6,7,7,7,7,7,7,6,6,7,7,7,5,7,6
cucire,atelic,perf,noiter,nospec,6,3,6,6,5,6,6,7,7,6,4,7,7,7,6,6,7,6,7,7,7,7,6,6,7,7,7,7,7,5
cucire,atelic,perf,iter,nospec,7,4,7,6,6,7,6,7,5,7,5,6,7,1,5,7,6,6,6,7,7,7,6,5,6,6,7,6,7,5
decapitare,telic,imperf,noiter,spec,5,4,1,1,1,5,3,4,5,5,4,1,2,7,5,6,6,5,5,3,7,4,1,5,6,6,7,3,1,5
decapitare,telic,imperf,iter,spec,6,3,2,1,2,5,6,5,6,5,4,1,7,6,6,5,6,5,5,2,7,4,5,7,6,6,7,5,1,5
decapitare,telic,perf,noiter,spec,1,4,1,1,4,4,5,4,4,4,4,1,1,7,5,5,6,5,5,2,7,4,1,6,6,6,7,5,3,5
decapitare,telic,perf,iter,spec,1,3,5,2,4,5,4,5,4,5,4,1,1,6,4,6,6,4,6,2,7,2,1,6,6,5,2,3,1,4
divorare,telic,imperf,noiter,spec,3,3,1,1,3,5,4,5,1,5,4,1,1,6,5,5,6,4,5,6,7,6,5,3,5,6,3,5,2,5
divorare,telic,imperf,iter,spec,3,4,1,4,7,5,7,5,1,5,4,1,1,6,5,5,5,7,5,2,7,3,2,3,6,6,7,7,1,5
divorare,telic,perf,noiter,spec,2,3,1,1,4,5,5,5,1,5,2,1,1,6,5,6,3,5,5,2,5,5,3,3,6,6,7,2,1,5
divorare,telic,perf,iter,spec,4,4,1,2,3,4,4,4,1,4,4,1,1,5,6,5,6,4,4,6,7,1,2,4,6,6,7,3,2,2
firmare,telic,imperf,noiter,spec,4,5,7,2,7,7,6,7,6,7,6,5,7,7,6,6,7,6,6,7,7,7,5,6,6,7,7,7,7,5
firmare,telic,imperf,iter,spec,7,7,7,5,6,7,7,7,6,7,4,5,5,7,6,7,5,7,6,7,6,7,5,5,7,7,6,6,6,7
firmare,telic,perf,noiter,spec,5,6,7,6,7,7,7,7,5,7,4,7,7,7,6,6,6,6,6,7,7,7,2,6,7,7,7,6,7,7
firmare,telic,perf,iter,spec,6,7,5,5,7,6,7,7,6,7,5,4,3,6,7,6,6,6,6,7,6,7,3,4,7,7,7,7,7,5
fumare,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7
fumare,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,6,7,6,7,7,7,7,7,7,7,7,7,7,7
fumare,atelic,perf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,7,6,7,7,7,1,7,7,7,7,7,6,7
